KEYWORD,CATEGORY 
"MACHINE LEARNING",GENERAL
"ANALYSIS",GENERAL
"STATISTICS",GENERAL
"COMPUTER SCIENCE",GENERAL
"COMMUNICATION",GENERAL
"MATHEMATICS",GENERAL
"VISUALIZATION",GENERAL
"AI COMPOSITE",GENERAL
"DEEP LEARNING",GENERAL
"NLP COMPOSITE",GENERAL
"SOFTWARE DEVELOPMENT",GENERAL
"NEURAL NETWORKS",GENERAL
"DATA ENGINEERING",GENERAL
"PROJECT MANAGEMENT",GENERAL
"SOFTWARE ENGINEERING",GENERAL
"AI",GENERAL
"ARTIFICIAL INTELLIGENCE",GENERAL
"AI + ARTIFICIAL INTELLIGENCE",GENERAL
"NLP",GENERAL
"NATURAL LANGUAGE PROCESSING",GENERAL
"NLP + NATURAL LANGUAGE PROCESSING",GENERAL